31,1,-0.0019,-0.0004,100.0,518.67,642.75,1582.03,1392.43,14.62,21.61,554.8,2388.0,9062.13,1.3,47.31,522.36,2388.0,8150.89,8.4028,0.03,394,2388,100.0,38.83,23.4048
31,2,-0.0016,-0.0001,100.0,518.67,642.02,1586.39,1398.94,14.62,21.61,554.04,2388.03,9064.71,1.3,47.43,522.91,2387.99,8149.72,8.4148,0.03,391,2388,100.0,39.03,23.2768
31,3,-0.0043,0.0004,100.0,518.67,642.36,1590.2,1405.66,14.62,21.61,553.85,2388.05,9069.69,1.3,47.37,522.43,2388.02,8152.35,8.4092,0.03,391,2388,100.0,38.99,23.3628
31,4,-0.0011,-0.0001,100.0,518.67,642.18,1582.1,1395.35,14.62,21.61,554.74,2387.99,9073.29,1.3,47.41,522.35,2388.04,8145.92,8.443,0.03,392,2388,100.0,38.96,23.3472
31,5,-0.0039,0.0005,100.0,518.67,642.23,1582.58,1401.53,14.62,21.61,554.52,2388.05,9066.53,1.3,47.12,522.44,2388.03,8150.46,8.4152,0.03,393,2388,100.0,38.92,23.4112
31,6,-0.0025,-0.0003,100.0,518.67,642.3,1581.37,1393.71,14.62,21.61,554.89,2388.0,9069.58,1.3,47.33,522.43,2388.01,8149.42,8.395,0.03,391,2388,100.0,39.03,23.4342
31,7,0.0007,0.0004,100.0,518.67,641.61,1588.16,1404.37,14.62,21.61,554.52,2388.01,9068.78,1.3,47.35,522.7,2388.03,8146.65,8.3915,0.03,393,2388,100.0,38.99,23.4166
31,8,0.0032,0.0005,100.0,518.67,642.21,1587.75,1402.96,14.62,21.61,554.7,2388.05,9069.05,1.3,47.3,522.45,2387.99,8151.01,8.3934,0.03,391,2388,100.0,38.82,23.4539
31,9,0.0034,0.0002,100.0,518.67,642.1,1589.82,1396.67,14.62,21.61,554.63,2388.02,9073.83,1.3,47.36,521.6,2387.98,8146.77,8.4147,0.03,391,2388,100.0,39.03,23.4222
31,10,-0.0041,-0.0001,100.0,518.67,642.06,1585.22,1401.2,14.62,21.61,554.32,2388.05,9064.33,1.3,47.23,522.16,2388.01,8150.05,8.4347,0.03,392,2388,100.0,38.93,23.3936
31,11,0.0031,0.0005,100.0,518.67,642.65,1583.66,1397.99,14.62,21.61,554.36,2387.99,9061.68,1.3,47.38,522.03,2387.93,8149.58,8.4182,0.03,391,2388,100.0,39.03,23.3494
31,12,0.0023,0.0005,100.0,518.67,642.57,1587.04,1400.43,14.62,21.6,554.68,2388.02,9070.44,1.3,47.4,522.41,2388.03,8146.59,8.4321,0.03,393,2388,100.0,39.07,23.4881
